Symbol,Trade DATE,NOCP
BERY,11/4/2019,41.47
BERY,11/5/2019,41.62
BERY,11/6/2019,41.75
BERY,11/7/2019,41.55
BERY,11/8/2019,41.92
BERY,11/11/2019,42.08
BERY,11/12/2019,41.84
BERY,11/13/2019,41.76
BERY,11/14/2019,41.77
BERY,11/15/2019,41.38
BERY,11/18/2019,41.31
BERY,11/19/2019,42.02
BERY,11/20/2019,41.89
BERY,11/21/2019,46.46
BERY,11/22/2019,45.02
BERY,11/25/2019,45.6
BERY,11/26/2019,46.37
BERY,11/27/2019,46.48
BERY,11/29/2019,46.69
BERY,12/2/2019,46.67
BERY,12/3/2019,46.56
BERY,12/4/2019,47.07
BERY,12/5/2019,47.2
BERY,12/6/2019,47.41
BERY,12/9/2019,47.2
BERY,12/10/2019,46.53
BERY,12/11/2019,47.05
BERY,12/12/2019,47.38
BERY,12/13/2019,46.7
BERY,12/16/2019,47.09
BERY,12/17/2019,46.84
BERY,12/18/2019,47.02
BERY,12/19/2019,47.01
BERY,12/20/2019,47.59
BERY,12/23/2019,47.39
BERY,12/24/2019,47.45
BERY,12/26/2019,47.36
BERY,12/27/2019,47.09
BERY,43829.66667,47.38
BERY,43830.66667,47.49
BERY,43832.66667,47.52
BERY,43833.66667,46.53
BERY,43836.66667,45.83
BERY,43837.66667,45.02
BERY,43838.66667,44.77
BERY,43839.66667,44.64
BERY,43840.66667,44.76
BERY,43843.66667,45.52
BERY,43844.66667,46.09
BERY,43845.66667,47.33
BERY,43846.66667,47.66
BERY,43847.66667,48.75
BERY,43851.66667,48.19
BERY,43852.66667,48.28
BERY,43853.66667,47.26
BERY,43854.66667,46.04
BERY,43857.66667,46.1
BERY,43858.66667,45.87
BERY,43859.66667,46.01
BERY,43860.66667,46.13
BERY,43861.66667,42.52
BERY,43864.66667,42.96
BERY,43865.66667,42.6
BERY,43866.66667,44.29
BERY,43867.66667,43.2
BERY,43868.66667,41.95
BERY,43871.66667,41.66
BERY,43872.66667,42.75
BERY,43873.66667,42.69
BERY,43874.66667,42.28
BERY,43875.66667,41.94
BERY,43879.66667,42.28
BERY,43880.66667,42.84
BERY,43881.66667,42.93
BERY,43882.66667,44.24
BERY,43885.66667,44.09
BERY,43886.66667,41.43
BERY,43887.66667,38.89
BERY,43888.66667,37.58
BERY,43889.66667,37.96
BERY,43892.66667,38.34
BERY,43893.66667,36.52
BERY,43894.66667,36.99
BERY,43895.66667,35.26
BERY,43896.66667,34.95
BERY,43899.66667,31.83
BERY,43900.66667,33.05
BERY,43901.66667,30.72
BERY,43902.66667,28.11
BERY,43903.66667,30.22
BERY,43906.66667,26.99
BERY,43907.66667,27.33
BERY,43908.66667,28.15
BERY,43909.66667,28.51
BERY,43910.66667,30.06
BERY,43913.66667,28.5
BERY,43914.66667,30.15
BERY,43915.66667,33.06
BERY,43916.66667,35.78
BERY,43917.66667,34.35
BERY,43920.66667,33.55
BERY,43921.66667,33.71
BERY,43922.66667,33.08
BERY,43923.66667,33.79
BERY,43924.66667,32.25
BERY,43927.66667,34.98
BERY,43928.66667,34.7
BERY,43929.66667,35.97
BERY,43930.66667,37.5
BERY,43934.66667,36.49
BERY,43935.66667,36.68
BERY,43936.66667,35.03
BERY,43937.66667,35.61
BERY,43938.66667,36.94
BERY,43941.66667,36.47
BERY,43942.66667,35.96
BERY,43943.66667,36.36
BERY,43944.66667,36.23
BERY,43945.66667,36.67
BERY,43948.66667,38.19
BERY,43949.66667,40.06
BERY,43950.66667,40.69
BERY,43951.66667,39.79
BERY,43952.66667,41.02
BERY,43955.66667,41.74
BERY,43956.66667,41.96
BERY,43957.66667,41.5
BERY,43958.66667,42.41
BERY,43959.66667,43.86
BERY,43962.66667,42.32
BERY,43963.66667,40.93
BERY,43964.66667,37.65
BERY,43965.66667,39.86
BERY,43966.66667,40.08
BERY,43969.66667,42.11
BERY,43970.66667,40.88
BERY,43971.66667,40.99
BERY,43972.66667,40.66
BERY,43973.66667,40.72
BERY,43977.66667,43.3
BERY,43978.66667,45.53
BERY,43979.66667,45.11
BERY,43980.66667,44.91
BERY,43983.66667,45.61
BERY,43984.66667,44.89
BERY,43985.66667,45.57
BERY,43986.66667,46.03
BERY,43987.66667,47.34
BERY,43990.66667,49.09
BERY,43991.66667,47.3
BERY,43992.66667,44.86
BERY,43993.66667,42.27
BERY,43994.66667,43.19
BERY,43997.66667,43.85
BERY,43998.66667,44.66
BERY,43999.66667,43.74
BERY,44000.66667,43.74
BERY,44001.66667,44.27
BERY,44004.66667,43.23
BERY,44005.66667,42.6
BERY,44006.66667,42
BERY,44007.66667,41.66
BERY,44008.66667,40.87
BERY,44011.66667,43.71
BERY,44012.66667,44.32
BERY,44013.66667,44.19
BERY,44014.66667,45.03
BERY,44018.66667,45.22
BERY,44019.66667,44.72
BERY,44020.66667,44
BERY,44021.66667,43.16
BERY,44022.66667,43.65
BERY,44025.66667,44.14
BERY,44026.66667,45.08
BERY,44027.66667,46.14
BERY,44028.66667,47.19
BERY,44029.66667,47.38
BERY,44032.66667,47.25
BERY,44033.66667,47.29
BERY,44034.66667,47.34
BERY,44035.66667,48.01
BERY,44036.66667,47.86
BERY,44039.66667,48.46
BERY,44040.66667,47.4
BERY,44041.66667,47.98
BERY,44042.66667,47.5
BERY,44043.66667,49.99
BERY,44046.66667,51.83
BERY,44047.66667,52.22
BERY,44048.66667,53
BERY,44049.66667,52.84
BERY,44050.66667,53.77
BERY,44053.66667,53.81
BERY,44054.66667,53.94
BERY,44055.66667,54.31
BERY,44056.66667,54.39
BERY,44057.66667,54.35
BERY,44060.66667,54.21
BERY,44061.66667,54.18
BERY,44062.66667,54.2
BERY,44063.66667,54.11
BERY,44064.66667,52.59
BERY,44067.66667,52.31
BERY,44068.66667,52.2
BERY,44069.66667,51.55
BERY,44070.66667,51.44
BERY,44071.66667,52.48
BERY,44074.66667,51.54
BERY,44075.66667,53.11
BERY,44076.66667,54.17
BERY,44077.66667,52.62
BERY,44078.66667,53.05
BERY,44082.66667,51.3
BERY,44083.66667,52.75
BERY,44084.66667,52.33
BERY,44085.66667,52.09
BERY,44088.66667,52.55
BERY,44089.66667,51.56
BERY,44090.66667,51.16
BERY,44091.66667,51
BERY,44092.66667,49.24
BERY,44095.66667,48.07
BERY,44096.66667,48.08
BERY,44097.66667,47.44
BERY,44098.66667,47.75
BERY,44099.66667,47.43
BERY,44102.66667,48.32
BERY,44103.66667,47.67
BERY,44104.66667,48.32
BERY,44105.66667,49.35
BERY,44106.66667,49.97
BERY,44109.66667,50.19
BERY,44110.66667,50.13
BERY,44111.66667,49.68
BERY,44112.66667,50.08
BERY,44113.66667,49.39
BERY,44116.66667,48.96
BERY,44117.66667,49.89
BERY,44118.66667,50.15
BERY,44119.66667,50.38
BERY,44120.66667,50.39
BERY,44123.66667,49.56
BERY,44124.66667,49.91
BERY,44125.66667,49.64
BERY,44126.66667,49.96
BERY,44127.66667,50.44
BERY,44130.66667,48.28
BERY,44131.66667,47.17
BERY,44132.66667,46.31
BERY,44133.66667,46.79
BERY,44134.66667,46.63
BERY,44137.66667,47.33
BERY,44138.66667,48.83
BERY,44139.66667,47.84
BERY,44140.66667,50.04
BERY,44141.66667,50.29
BERY,44144.66667,50.79
