Symbol,Trade DATE,NOCP
CAH,11/4/2019,51.74
CAH,11/5/2019,51.5
CAH,11/6/2019,51.43
CAH,11/7/2019,53.2
CAH,11/8/2019,53.75
CAH,11/11/2019,53.68
CAH,11/12/2019,54.03
CAH,11/13/2019,54.79
CAH,11/14/2019,54.75
CAH,11/15/2019,56.24
CAH,11/18/2019,56.01
CAH,11/19/2019,55.68
CAH,11/20/2019,55.41
CAH,11/21/2019,55.17
CAH,11/22/2019,55.69
CAH,11/25/2019,56.35
CAH,11/26/2019,54.21
CAH,11/27/2019,55.22
CAH,11/29/2019,55.03
CAH,12/2/2019,54.64
CAH,12/3/2019,54.53
CAH,12/4/2019,54.78
CAH,12/5/2019,54.25
CAH,12/6/2019,54.87
CAH,12/9/2019,54.34
CAH,12/10/2019,53.82
CAH,12/11/2019,54.28
CAH,12/12/2019,54.66
CAH,12/13/2019,53.66
CAH,12/16/2019,53.7
CAH,12/17/2019,51.57
CAH,12/18/2019,51.1
CAH,12/19/2019,50.61
CAH,12/20/2019,51.8
CAH,12/23/2019,51.13
CAH,12/24/2019,51.29
CAH,12/26/2019,51.17
CAH,12/27/2019,51.5
CAH,43829.66667,50.77
CAH,43830.66667,50.58
CAH,43832.66667,50.09
CAH,43833.66667,49.36
CAH,43836.66667,49.77
CAH,43837.66667,49.79
CAH,43838.66667,50.06
CAH,43839.66667,50.3
CAH,43840.66667,50.63
CAH,43843.66667,50.44
CAH,43844.66667,52.45
CAH,43845.66667,53.81
CAH,43846.66667,54.42
CAH,43847.66667,53.93
CAH,43851.66667,54.01
CAH,43852.66667,55.32
CAH,43853.66667,54.87
CAH,43854.66667,53.82
CAH,43857.66667,53.38
CAH,43858.66667,53.8
CAH,43859.66667,53.74
CAH,43860.66667,53.29
CAH,43861.66667,51.21
CAH,43864.66667,51.26
CAH,43865.66667,51.59
CAH,43866.66667,52.68
CAH,43867.66667,58.26
CAH,43868.66667,58.24
CAH,43871.66667,59.19
CAH,43872.66667,59.41
CAH,43873.66667,60.13
CAH,43874.66667,59.4
CAH,43875.66667,59.62
CAH,43879.66667,59.01
CAH,43880.66667,59.35
CAH,43881.66667,60.42
CAH,43882.66667,59.72
CAH,43885.66667,58.14
CAH,43886.66667,55.44
CAH,43887.66667,55.01
CAH,43888.66667,52.25
CAH,43889.66667,52.12
CAH,43892.66667,54.02
CAH,43893.66667,52.96
CAH,43894.66667,54.63
CAH,43895.66667,52.48
CAH,43896.66667,51.27
CAH,43899.66667,47.93
CAH,43900.66667,49.71
CAH,43901.66667,48.65
CAH,43902.66667,42.39
CAH,43903.66667,47.62
CAH,43906.66667,44.22
CAH,43907.66667,47.76
CAH,43908.66667,45.7
CAH,43909.66667,43.79
CAH,43910.66667,43.33
CAH,43913.66667,41
CAH,43914.66667,43.54
CAH,43915.66667,42.25
CAH,43916.66667,45.4
CAH,43917.66667,44.38
CAH,43920.66667,48.44
CAH,43921.66667,47.94
CAH,43922.66667,47.71
CAH,43923.66667,46.42
CAH,43924.66667,46.61
CAH,43927.66667,49.35
CAH,43928.66667,47.88
CAH,43929.66667,49.4
CAH,43930.66667,50.43
CAH,43934.66667,49.03
CAH,43935.66667,50.69
CAH,43936.66667,50.07
CAH,43937.66667,50.06
CAH,43938.66667,51.23
CAH,43941.66667,50.74
CAH,43942.66667,48.27
CAH,43943.66667,49.04
CAH,43944.66667,49.32
CAH,43945.66667,50.32
CAH,43948.66667,51.93
CAH,43949.66667,51.45
CAH,43950.66667,51.36
CAH,43951.66667,49.48
CAH,43952.66667,47.42
CAH,43955.66667,47.02
CAH,43956.66667,47.45
CAH,43957.66667,47.4
CAH,43958.66667,48.52
CAH,43959.66667,49.88
CAH,43962.66667,53.24
CAH,43963.66667,50.1
CAH,43964.66667,47.6
CAH,43965.66667,47.3
CAH,43966.66667,48.95
CAH,43969.66667,52.21
CAH,43970.66667,51.56
CAH,43971.66667,52.95
CAH,43972.66667,53.18
CAH,43973.66667,53.59
CAH,43977.66667,52.6
CAH,43978.66667,53.75
CAH,43979.66667,54.37
CAH,43980.66667,54.69
CAH,43983.66667,54.7
CAH,43984.66667,55.77
CAH,43985.66667,56.62
CAH,43986.66667,56.49
CAH,43987.66667,57.27
CAH,43990.66667,59.31
CAH,43991.66667,57.65
CAH,43992.66667,55.47
